,school_name,faculty_name,affiliation,citedby5y,hindex,hindex5y,i10index,i10index5y
240,Westlake,Lingjuan He,"School of Life Sciences, Westlake University",2880,33,31,50,50
241,Westlake,Zhichang Liu,Westlake University,2483,33,26,56,53
242,Westlake,Ling Li,"Professor of Environmental Hydrology, School of Engineering, Westlake University",5150,53,36,190,143
243,Westlake,Qi Xie,Westlake University,2271,26,26,29,28
244,Westlake,Chun-Qing Song，,Westlake University,2484,22,21,24,21
245,Westlake,Kai Liu,Westlake University,1830,27,25,42,39
246,Westlake,Thomas Cherico Wanger,"Associate Professor, Westlake University, China",5755,26,22,35,30
247,Westlake,Shuigang Xu,"Westlake University, University of Manchester, HKUST",2783,26,26,42,39
248,Westlake,Hongfei Wang,"School of Sciences, Westlake University",3096,45,28,85,73
249,Westlake,Zhiqiang KU,Westlake University,3243,22,20,32,31
250,Westlake,Thuan Beng Saw,"Westlake University School of Life Sciences, Hangzhou China",1109,11,10,12,10
251,Westlake,Yuzhong Zhang,Westlake University,2425,26,26,36,35
252,Westlake,Xin JIN,Westlake University,2759,11,10,11,10
253,Westlake,Xiaocheng Jiang,Westlake University,2365,27,20,36,32
254,Westlake,Anping Zeng,"Chair Professor of Synthetic Biology and Bioengineering, Westlake University",6389,71,43,218,152
255,Westlake,Tao Wang,"Westlake University, Stanford University, ENS de Lyon, Leibniz Institute for Catalysis",5172,29,27,54,52
256,Westlake,Tiannan Guo,Westlake University,3287,29,25,53,49
257,Westlake,Hongtao Yu,"Chair Professor of Cell Biology, School of Life Sciences, Westlake University",8204,80,54,133,121
258,Westlake,Bowen Zhu,Westlake University,5229,34,34,49,49
259,Westlake,Zibo Chen,Westlake University,1451,11,11,12,11
260,Westlake,Liang Tao,"Assistant Professor, Westlake University",850,14,14,20,19
261,Westlake,Jian Yang,"Professor of Statistical Genetics, Westlake University",57763,102,92,186,177
262,Westlake,Ju-Sheng Zheng,"School of Life Sciences, Westlake University",3756,35,33,65,63
263,Westlake,Xiaobo Li,Westlake University,1286,10,10,10,10
264,Westlake,Huaizong Shen,Westlake University,1816,8,8,8,8
265,Westlake,Yajie Wang,Westlake University/University of Illinois at Urbana Champaign,1568,14,14,15,15
266,Westlake,Shang Cai,Westlake University,1168,15,15,15,15
267,Westlake,Botao Ji,"School of Engineering, Westlake University",463,11,10,12,11
268,Westlake,Min Qiu,Westlake University,8522,70,47,229,160
269,Westlake,Dan Yang,Westlake University,623,8,8,8,8
270,Westlake,Peilong Lu,Westlake University,1645,16,15,16,15
271,Westlake,Hanqing Jiang,Professor of Mechanical Engineering,10018,65,46,197,157
272,Westlake,Yanmei Dou,Westlake University,496,11,11,12,12
273,Westlake,Yigong Shi,"Princeton University, Tsinghua University, Westlake University",20345,119,76,209,187
274,Westlake,Xudong Wu,Westlake University,1207,14,14,15,15
275,Westlake,Sergio Andres Galindo Torres,Associate Professor at Westlake University,1277,21,19,38,35
276,Westlake,Donglin Wang,Westlake University,830,20,16,38,29
277,Westlake,Xu Li,Westlake University,2532,26,22,35,31
278,Westlake,Ruihua He,"Associate professor of Physics, Westlake University",2208,26,22,33,29
279,Westlake,Changxi Zheng,Westlake University,2050,25,21,35,30
280,Westlake,Xiaorui Zheng,"Assistant Professor, Westlake University",1647,16,15,17,17
281,THU,liang ge,Tsinghua University,8724,21,20,22,22
282,THU,tao qinghua,Tsinghua University,6163,35,32,69,66
283,THU,wei wu,City University of Hong Kong; National Institute of Standards and Technology; Tsinghua University,2530,32,30,65,64
284,THU,xi qiaoran,Tsinghua University,1277,17,16,21,21
285,THU,li yu,Tsinghua University,88,5,5,4,4
286,THU,fan zhou,"Assistant Professor, Tsinghua University",779,7,6,6,6
287,THU,peng jiang,Tsinghua University,1645,22,18,25,24
288,THU,peng li,Tsinghua University  清华大学,5320,54,39,76,66
289,THU,liu wanli,Tsinghua Univ (since 2011.12); NIH (2008-2011.12); UCSF (2005-2008),3530,35,28,69,64
290,THU,chai jijie,"Tsinghua University, University of Cologne, Max Planck Institute for Plant Breeding Research",8905,64,51,110,103
291,THU,chen chunlai,Tsinghua University,734,19,15,24,19
292,THU,sai li,"School of Life Sciences, Tsinghua University",1745,20,17,22,21
293,THU,li pilong,Tsinghua University/Investigator,2948,22,21,27,26
294,THU,liu junjie,"The School of Life Sciences, Tsinghua University",1948,21,18,23,22
295,THU,shi yigong,"Princeton University, Tsinghua University, Westlake University",20520,119,77,209,187
296,THU,wang jiawei,"School of Life Sciences, Tsinghua University",6727,55,46,75,66
297,THU,yi xue,Tsinghua University,1560,22,18,31,30
298,THU,ning yan,Tsinghua University,9735,84,36,180,73
299,THU,yan yongbin,"Tsinghua University, Beijing",1684,32,21,89,47
300,THU,chen guoqiang,Tsinghua University,32368,105,75,589,457
301,THU,nian liu,"Assistant Professor, Tsinghua University",3084,11,11,11,11
302,THU,zhi lu,"PI, Tsinghua University",11916,35,32,52,49
303,THU,wang jianbin,Tsinghua University,3494,28,25,38,35
304,THU,wang haifeng,Tsinghua University,1996,14,14,16,15
305,THU,wei jie,"Department of Computer Science and Technology, Tsinghua University",42,3,3,1,1
306,THU,zhang qiangfeng,Tsinghua University,5460,32,31,48,47
307,THU,kun li,Tsinghua University,467,4,4,4,4
308,THU,yi lin,"Associate Professor, Department of Automation, Tsinghua University",6050,32,30,63,55
309,THU,da mi,"School of Life Sciences, Tsinghua University, Beijing, China",814,8,6,7,6
310,THU,ou guangshuo,Unknown affiliation,1669,30,24,43,39
311,THU,wei xiong,Tsinghua University,1218,19,16,29,24
312,THU,jun yao,Tsinghua University,3140,18,15,19,17
313,THU,wei zhang,Tsinghua University,8324,83,47,188,124
314,THU,yi zhong,Tsinghua University / RTDS Technologies Inc.,79,6,5,5,4
315,THU,huang shanjin,"School of Life Sciences, Tsinghua University",1943,37,31,57,54
316,THU,dong liu,Tsinghua University,1162,15,14,26,22
317,THU,liu yule,"Professor, School of Life Sciences, Tsinghua University, China",13011,53,43,106,80
318,THU,qi tiancong,Tsinghua University,3488,21,21,28,28
319,THU,sun qianwen,"School of Life Sciences, Tsinghua University",1603,18,18,21,21
320,THU,xie daoxin,"Professor in School of Life Sciences, Tsinghua University",7744,58,46,95,82
321,PKU,lei li,"PhD of polymer chemistry, Peking University",786,15,14,15,14
322,PKU,wei wang,"Professor of Institute of Microelectronics, Peking Univeristy",8660,55,47,205,187
323,PKU,zhi lv,Peking University,1531,22,19,32,25
324,PKU,luo shujin,"School of Life Sciences, Peking University",1554,20,19,31,26
325,PKU,cheng li,"Principal Investigator, School of Life Sciences, Peking University, Beijing, China",18203,70,42,136,118
326,PKU,wei zhang,Peking University,1005,14,12,14,13
327,PKU,zhen chai,pku,1071,14,14,15,15
328,PKU,li yulong,"Professor, School of Life Sciences, PKU-IDG/McGovern Institute for Brain Research, PKU-THU Center",3782,31,29,57,56
329,PKU,yan zhang,Peking University,814,18,14,27,18
330,PKU,jing yang,"Institute of Biomedical Engineering, Chinese Academy of Medical Science and Peking Union Medical College",1677,29,24,55,49
331,PKU,xiang yu,"School of Physics, Peking University",496,10,10,11,11
332,PKU,yu jianing,Peking University,664,11,10,11,10
333,PKU,qing li,Peking University Cancer Hospital,4759,43,38,95,90
334,PKU,su xiaodong,BIOPIC  北京大学生命科学学院,4582,39,28,97,68
335,PKU,wei wensheng,Peking University,2768,27,24,38,35
336,PKU,bin xia,Peking University,1794,40,21,89,47
337,PKU,xiao junyu,"School of Life Sciences, Peking University",5142,34,32,49,48
338,PKU,xu dongyi,Peking University,1717,19,18,22,22
339,PKU,yi chengqi,"Professor of Biology, Peking University",7545,38,35,61,60
340,PKU,long li,Peking University,1524,13,13,13,13
341,PKU,zhe zhang,Peking University,1457,9,9,9,9
342,PKU,jun liu,"School of Life Sciences, Peking University",5572,21,21,22,22
343,PKU,di zhang,Peking University,2765,15,14,15,15
344,PKU,fan bai,"University of Oxford, Osaka University, Peking University",5961,40,39,84,78
345,PKU,qiang guo,Peking University,1123,13,13,15,15
346,PKU,sun yujie,peking university university of pennsylvania,3357,36,32,84,69
347,PKU,xie xiaoliang,Lee Shau Kee Professor of Peking University,25409,121,82,270,219
348,PKU,yi li,Peking University,690,16,15,19,19
349,PKU,qu lijia,Peking University,6074,59,44,112,96
350,PKU,jiao yuling,Peking University,3820,39,35,59,55
351,PKU,jian lu,"University of Chicago, Cornell University, Peking University",3825,25,22,41,37
352,PKU,zhang zemin,Peking University,20688,61,49,263,102
353,PKU,Jackson Champer,"Assistant Professor, Peking University",2518,26,24,35,34
354,PKU,chen jianguo,"College of Life Sciences, Peking University",1971,34,22,63,40
355,PKU,jiang zhengfan,Peking University,4960,49,38,81,71
356,PKU,yan song,Peking University,4029,34,31,65,64
357,PKU,tang fuchou,"Professor, Peking University",18002,75,70,136,131
358,PKU,wei tao,Peking University,23,3,3,1,1
359,PKU,peng du,Peking University,2179,13,13,13,13
360,PKU,hu jiazhi,"Assistant professor, Peking University",1580,16,16,20,19
361,PKU,xiong ji,"Assistant Professor, School of Life Science, Peking University",2680,13,13,14,14
362,PKU,hong wu,Peking University,11069,101,57,155,130
363,PKU,bo zhang,Unknown affiliation,12121,57,52,363,301
364,PKU,zheng pengli,"the School of Life Sciences, Peking University",383,11,10,12,10
365,PKU,ying zhang,Peking University,547,14,11,20,12
366,SUSTech,Wei Chen,"Professor of Systems Biology, Southern University of Science and Technology",17140,71,57,141,133
367,SUSTech,Xi Chen,"Department of Biology, Southern University of Science and Technology",2153,19,19,21,21
368,SUSTech,Tao Dong,Southern University of Science and Technology,2007,24,23,28,26
369,SUSTech,Ziwei Dai,"Assistant Professor, Southern University of Science and Technology",2472,18,18,26,25
370,SUSTech,Xin Gong,Southern University of Science and Technology,950,12,12,12,12
371,SUSTech,Shengtao Hou,SUSTech,1301,35,19,65,44
372,SUSTech,Hongda Huang,"Department of Biology, Southern University of Science and Technology, Shenzhen, China",1452,21,18,24,22
373,SUSTech,Ancheng Huang,Southern University of Science and Technology,1051,14,14,14,14
374,SUSTech,Andrew Hutchins,Southern University of Science and Technology,2581,32,29,51,47
375,SUSTech,Wenfei Jin,"Associate Professor, Southern University of Science and Technology",1651,20,17,29,27
376,SUSTech,Yan Li,Southern University of Science and Technology,212,5,5,5,5
377,SUSTech,Xijun Ou,Southern University of Science and Technology,239,11,9,12,9
378,SUSTech,Peter Pimpl,"Southern University of Science and Technology (SUSTech), Shenzhen, China",980,23,18,26,21
379,SUSTech,Feng Rao,Southern University of Science and Technology,999,21,18,23,21
380,SUSTech,Yi Song,Georgia Southern University,122,6,6,5,4
